,logFC,AveExpr,t,P.Value,adj.P.Val,B
CHD6,-1.22166215263222,7.9106499258115,-5.11595653924828,2.10547795319274e-05,7.2579906132563e-05,2.46175014128767
ACOT2,-1.52439739585841,9.26640363217901,-5.11567785401736,2.10707043178949e-05,7.26146644338796e-05,2.46100526380726
CLTCL1,-1.42230729527071,5.9692029614782,-5.11564789809143,2.10724167946223e-05,7.26146644338796e-05,2.46092519681442
CARD14,-1.83363011055196,1.56712198905814,-5.11537183357367,2.10882050183854e-05,7.26482829342322e-05,2.46018732445961
ST6GALNAC4,-1.38170279137106,4.85214336769512,-5.11534517243112,2.10897304060312e-05,7.26482829342322e-05,2.46011606389067
CCDC126,-1.43879013282463,6.3137918580303,-5.11506999613183,2.11054807765442e-05,7.26895141399251e-05,2.45938056599574
BEST1,-1.96279036605892,3.95501684821905,-5.11463834073579,2.11302113624752e-05,7.27616538498271e-05,2.45822682772253
RASSF3,-1.56276281430732,6.39502854139422,-5.11419305026107,2.11557535787617e-05,7.28365620615499e-05,2.4570366462733
NDE1,-1.20823860712207,5.31544422199,-5.11396380058913,2.11689155904084e-05,7.28688276142528e-05,2.45642390346846
PDZD4,-1.30361472445804,4.55096178796988,-5.1137732643904,2.11798611753203e-05,7.28852340525988e-05,2.45591463495927
ZNF529,-1.62165998211172,4.88511752273297,-5.11373081490181,2.11823005108446e-05,7.28852340525988e-05,2.45580117524318
CDV3,-1.17318904933323,10.3571995992388,-5.11368288199119,2.11850552866539e-05,7.28852340525988e-05,2.45567305935429
APOOL,-1.95432388565844,8.47165043516311,-5.11337994167645,2.12024740281616e-05,7.29321100718207e-05,2.45486335566067
TMEM259,-1.58948373032027,10.0106149365987,-5.11325315458985,2.12097684103991e-05,7.29365902208121e-05,2.45452447725693
PCNP,-0.991822077476284,9.06980199689001,-5.11322542399005,2.12113641573243e-05,7.29365902208121e-05,2.45445035850983
L2HGDH,-1.26530713654159,7.6576310555737,-5.11259804397643,2.12474986865996e-05,7.30477757957579e-05,2.45277348921659
HLA-C,-1.00407466059294,12.8387531796294,-5.11247567926754,2.12545535833307e-05,7.30497244353289e-05,2.45244643150066
UMPS,-1.05660604478818,8.4061342777872,-5.11245640687064,2.12556649410263e-05,7.30497244353289e-05,2.45239492003711
TRAF3IP2,-1.48387164517005,6.61977019813792,-5.1122185949163,2.12693833471708e-05,7.308380604993e-05,2.45175929392287
PIK3CB,-1.08493157094972,7.76409118211641,-5.11127771610351,2.13237459096909e-05,7.32575080617954e-05,2.44924450675288
SFPQ,-1.25746680869609,9.26354208152412,-5.11118744229151,2.13289691126624e-05,7.32623604057414e-05,2.44900322255208
DNAJC21,-0.934639645105198,8.95199270827948,-5.11074850044784,2.13543843802885e-05,7.33365558612087e-05,2.4478300176818
CNTLN,-1.28934627609495,7.82430684521563,-5.11065348997272,2.13598895983297e-05,7.33423606943899e-05,2.4475760735797
BMPR1B,-1.39317481553688,3.51151768391334,-5.11016295784733,2.13883352799494e-05,7.34269188851836e-05,2.4462649795531
FUBP3,-1.23336080076314,8.81785415835011,-5.10909953513167,2.14501330369906e-05,7.36259253055068e-05,2.44342266834891
PARS2,-1.16782954646226,6.11358913395489,-5.10864699607461,2.14764853082165e-05,7.37032185024032e-05,2.44221312599628
STT3B,-1.08196835563817,10.7712729881754,-5.108294001947,2.14970634047918e-05,7.37606717753208e-05,2.44126964723892
OCIAD1,-1.04204943218061,10.753707972056,-5.10786287338536,2.15222232303097e-05,7.3828111496998e-05,2.44011733259413
